Design,Cd,Cl,Abs_Cl
Minimum Drag,0.19237883591863394,0.023576481985951338,0.023576481985951338
Balanced,0.20440806394053246,-0.00221460161761854,0.00221460161761854
Minimum Lift,0.21569714397576603,-2.218009455794007e-06,2.218009455794007e-06
