Design,Cd Mean,Cd Std,Cd Min,Cd Max,Cl Mean,Cl Std,Cl Min,Cl Max
Minimum Drag,0.19237883591863333,0.011521483454141963,0.1828164043,0.23911211771,0.02357648198595133,0.01901314655600063,-0.090052259164,0.09930368467
Balanced,0.2044080639405333,0.019227170778761814,0.18665820721,0.34272145315,-0.002214601617618533,0.01689161639178029,-0.088190771857,0.07543370041
Minimum Lift,0.2156971439757667,0.026845696416292714,0.18839600224,0.32593079148,-2.218009455799604e-06,0.03652953362702073,-0.062723222078,0.48028148867
