body-length,body-height,body-width,front-arc-diameter,slant-angle-length,slant-angle-height,slant-surface-length,slant-angle-degrees,predicted_cd,predicted_cl,abs_cl
1187.3076062411542,265.5280077602612,319.3338574514778,181.32174870310092,217.63896904294296,39.909578338688185,221.2679264811034,10.391175740923442,0.19237883591863394,0.023576481985951338,0.023576481985951338
1188.5862275557342,267.0492011329903,321.8093212771067,182.3701041285217,215.76370526761505,39.74711422081385,219.3941877071785,10.437775464241565,0.19367675366173392,0.023443645758151332,0.023443645758151332
1190.9954256549033,265.9759550198861,323.6308862641725,180.74761289313795,217.82899450953673,39.53934179535891,221.38841523134403,10.288058889956536,0.19370151969123398,0.023422472801400335,0.023422472801400335
1098.7888030389445,250.37026541824983,304.94314230584774,212.46938413585335,161.2462570151916,170.17551531894384,234.43562317932253,46.543305605117915,0.20437636294413247,-0.0026981188295909404,0.0026981188295909404
1103.6076900270095,250.63423167550906,306.4915886105886,212.06453394734748,160.8258755390066,168.6483179139137,233.03908980701186,46.3600723718946,0.20440806394053246,-0.00221460161761854,0.00221460161761854
1101.295520727989,250.00548399247492,304.7617128218926,211.38745576043158,161.90249688228207,165.6510589429466,231.63050711345628,45.65567112904132,0.2050103770364991,0.00013244761421643452,0.00013244761421643452
1096.3605370270263,251.54326704836333,305.211928946191,211.67978602600184,162.37588274787788,166.5556439797574,232.6084904720038,45.728023220611064,0.20508253820953248,-0.00012238854664373212,0.00012238854664373212
1097.405078474211,250.72726480601247,303.16917869559643,212.01046740316636,162.25137150070393,167.05406606432572,232.87887096618178,45.835560515659225,0.2077525296161658,-4.274662439769553e-05,4.274662439769553e-05
1101.1148029121202,250.06886754222657,305.9510656297949,211.07740171469035,166.5401238636154,169.65413506881302,237.7354378346977,45.5306890063011,0.2094405152570992,-1.5964931044298998e-05,1.5964931044298998e-05
1105.4495567060283,250.98154046072452,300.9313980371503,211.3353710037752,164.70697205791262,170.82775555024813,237.29835378868802,46.045066696609325,0.21308612603339924,-1.3367934004963241e-05,1.3367934004963241e-05
974.9551500134237,262.2682941959754,303.13122638373454,215.00451561868772,159.3175314836071,159.47714122929025,225.4219031343164,45.02868606289706,0.21569714397576603,-2.218009455794007e-06,2.218009455794007e-06
